Chromosome,Region_Start,Region_End,Notes
11,646353,666815,Right End
12,0,13920,Left End
12,95465,97478,"SSA2, non-specific (yellow) coverage to peak"
12,150685,151222,Dip in coverage (below 300) in SK1 and diploid
12,214937,221156,"Non-specific (yellow) coverage tA(UGC)L, YLR035C-A,"
12,365840,366356,Hole in coverage in SK1 and dip in coverage in diploid right before snR6
12,373929,374487,Non-specific (yellow) to no coverage over tR(ACG)L
12,412491,412841,Spike in coverage (5708) in S288c over ARS1215
12,451730,490558,"Non-specific (yellow) coverage, peaks above 80,000,  "
12,592052,599147,Non-specific coverage over YLR227-A(-B) with peak over 1000
12,650690,656859,Non-specific (yellow) coverage over and around YLR265W-A
12,731512,732136,"Peak in coverage (over 1000) in SK1, Non-specific in S288c, and peak with non-specific coverage in diploid"
12,793104,794335,Green to red coverage on SK1 and diploid
12,817964,819071,Green to red coverage at exactly TRR4 in S288c only
12,823250,823638,Peak (over 1200) in SK1 and diploid
12,941044,947378,Non-specific (yellow) coverage over YLR410-A(-B)
12,975664,982360,Non-specific yellow coverage in between green to red
12,1003657,1004135,Peak (over 1000) in SK1 and diploid
12,1058708,1078177,Right End
13,0,8503,Left End
13,86904,87112,Dip in coverage in SK1
13,168279,168795,Non-specific (yellow) coverage right before SUP5
13,183479,190169,"Non-specific (yellow) coverage over ARS1308, tG(GCC)M, YML045W(-A)"
13,196264,202337,Non-specific (yellow) coverage over YML040W and YML039W
13,259020,260358,Green to red switch a bit after tS(AGA)M 
13,356928,362957,Non-specific(yellow) coverage over YMR045C and YMR046C
13,372584,379277,"Non-specific (yellow) coverage YMR050C, YMR51C"
13,462541,464185,Green to red switch in SK1 and diploid
13,480035,481491,Green to red switch in SK1 at tK(CUU)M
13,503707,504240,Yellow (non-specific) covergae to low coverage after ARS1319
13,586552,590895,Break in consensus and in hole in coverage over MSS11 surrounded by green and red coverage  
13,608579,610036,Dip and then peak in coverage over DDR48 in Diploid and SK1
13,768478,769074,Non-specific (yellow) coverage between tA(AGC)M2 and YMR24W-A
13,873234,874636,Green to gap to red coverage over ADH2 in SK1
13,907335,924431,Left End
14,0,17250,Right End
14,55910,56446,Dip in coverage (below 300) before MCK1
14,96462,102667,Non-specific (yellow coverage) over YNL284C-A(-B)
14,103837,105181,Green to red switch in S288c and diploid
14,252513,253344,Yellow/ Non-specific coverage in the middle of SSB2
14,519004,525519,Non-specific (yellow) and high coverage over YNL054W-A(-B)
14,561692,574287,"Peaks and yellow coverage over tP(UGG)N2, ARS1423, YNL035C, tI(AAU)N1, YNL034W, YNL033W"
14,587075,590033,"Only one parent has TRP1, which deleted mss11D0"
14,597707,601955,"Mix of green to red switches, non-specific/ yellow coverage, and dip in coverage in SK1 and diploid, and yellow in S288c"
14,631538,633088,"Green, gap, and red coverage in SK1"
14,726104,727065,"After tL(UAA)N low to no coverage followed by non-specific/ yellow coverage in SK1 and diploid, and just yellow/ non-specific in S288c"
14,752785,753467,Peak of over 1000 in SK1
14,772119,784333,"Left End, starting at HXT17"
15,0,15147,"Right End, stop at YOL159C"
15,22476,33206,"Non-specific, gaps, and coverag exceeding 1200 in SK1 and diploid, rest of right end"
15,60241,60844,Dip in coverage in all but below 300 in diploid
15,110146,124012,"ZEO1, SUF1, INO4, YOL107W, tT(AGU)O1, ARS1509, WSC3, NDJ1, YOL103W-A, YOL103W-B"
15,226478,228922,"Green, gap, red from SK1 in between tG(GCC)O1 and FSH1"
15,260141,261046,Peak (2000-4700) in the middle of SMC5 from SK1 and diploid
15,326470,326665,Dip in coverage (below 300) 
15,353961,355483,Green to red switch in SK1 and diploid followed by dip in coverage (below 300) in all three 
15,448340,449108,Dip coverage (under 300 in diploid and present in all)
15,4620044,462497,Jump in coverage (1215) in S288c
15,535911,537789,Dip coverage (under 300 in diploid and present in all)
15,563944,566896,"Two green to red surround ADE2 in SK1 and diploid, ADE2 knocked out in S288c"
15,575029,577736,"Yellow, no-specific coverage in EFT1"
15,594524,600992,Non-specific coverage over YOR142W-A(-B)
15,663509,665243,Gap and yellow coverage from SK1 that bleeds into diploid
15,703666,710276,"YOR192C-C, YOR192C-A(-B), non-specific / yellow coverage"
15,849334,850192,Spike and red to green in coverage from Sk1 bleed into diploid
15,854187,855208,Yellow (non-specific) covergae to low coverage in SK1 and diploid
15,969931,976361,Non-specific (yellow coverage) over YOR34W-A(-B)
15,980054,980686,Peak before tP(UGG)O3
15,1004280,1005146,Dip coverage (under 300 in diploid and present in all)
15,1060433,1061054,No coverage over FIT3 in SK1
15,1068546,1091291,"Left End, starting after PHR1"
16,0,19810,Right End
16,22935,26070,Bump in coverage flanked by red and green in SK1
16,56294,64338,"YPL257W-A(-B) and YPL256W, non-specific yellow coverage, peaks (1000-2000), and holes in depth of coverage "
16,135795,136369,Low coverage over RPL1A from SK1
16,209746,211975,"Green to red switch, gap in coverage in SK1 and yellow in diploid before CBC2"
16,338681,340060,"Green, gap, and red coverage from SK1 before CAR1"
16,377250,378468,"RPS6A, gap in SK1 and yellow in diploid and S288c"
16,436288,443759,"YPL060C-A, hole for SK1 and yellow for diploid and S288c"
16,520357,521361,Dip in coverage in between IRC15 and SWI1
16,555532,556972,Dip in coverage in between HAT1 and CIT3
16,560065,561161,Peak with non-specific coverage in SK1 and diploid (over 1000 in SK1)
16,650237,650923,Dip in coverage at the beginning of PUF2 (under 300 in diploid and present in all)
16,675198,676240,"Dip in coverage, obvious in diploid only"
16,688957,690284,Green to red switch at SUP16 from SK1
16,700482,702361,Non-specific coverage over TEF1
16,752984,753461,Dip in coverage from S288c at beginning of YPR114W
16,769087,769731,Peak in coverage from SK1 and bleed into diploid after tK(UUU)P 
16,772983,773804,Dip in coverage between CLB2 and CLB5
16,804457,810849,Non-specific coverage over YPR137C-A(-B) and peake over tN(GUU)P
16,837870,839948,No and low coverage of TPO3 in SK1 and diploid
16,844206,857283,"Yellow coverage with peaks above 1000 over YPR158W-A(-B), ARS1629, YPR158C-C(-D), tA(AGC)P"
16,860519,861199,Peak in SK1 And diploid
16,924112,948066,"Right End, starts at before OPT2"
